Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
1695168000000,2023-09-20,BTCUSDT,27210.25,27388.63,26800.0,27125.0,34207.21867,927206075.9626272,867288
1695081600000,2023-09-19,BTCUSDT,26762.5,27483.57,26667.79,27210.26,36190.52187,981539255.55962,898076
1694995200000,2023-09-18,BTCUSDT,26527.5,27409.0,26377.35,26762.51,43000.43256,1158780347.6253047,938705
1694908800000,2023-09-17,BTCUSDT,26559.67,26623.25,26399.0,26527.51,12998.10277,344703727.5601071,476775
1694822400000,2023-09-16,BTCUSDT,26599.99,26777.0,26445.0,26559.67,13960.93351,370889866.4592735,526416
1694736000000,2023-09-15,BTCUSDT,26522.73,26888.0,26224.0,26600.0,26227.29369,695203258.0004445,654094
1694649600000,2023-09-14,BTCUSDT,26222.0,26860.49,26126.77,26522.73,38333.1725,1015267319.7730225,799278
1694563200000,2023-09-13,BTCUSDT,25840.1,26405.22,25764.17,26222.0,31610.82753,825437881.4687591,714880
1694476800000,2023-09-12,BTCUSDT,25162.53,26567.0,25131.48,25840.1,56434.38537,1464393036.9616623,1047056
1694390400000,2023-09-11,BTCUSDT,25841.6,25900.69,24901.0,25162.52,41682.32,1057371884.6697066,864138
1694304000000,2023-09-10,BTCUSDT,25901.6,26033.66,25570.57,25841.61,18738.26914,483577459.20553446,489773
1694217600000,2023-09-09,BTCUSDT,25910.5,25945.09,25796.64,25901.61,10980.62277,284109473.8075783,359038
1694131200000,2023-09-08,BTCUSDT,26255.0,26445.5,25647.26,25910.5,28999.76471,754184537.1096923,646852
1694044800000,2023-09-07,BTCUSDT,25759.95,26443.14,25615.38,26255.0,27687.49567,718923008.9071183,631929
1693958400000,2023-09-06,BTCUSDT,25792.11,26040.0,25372.51,25759.95,27262.52386,700763180.8011677,636302
1693872000000,2023-09-05,BTCUSDT,25826.03,25915.49,25562.62,25792.1,21323.39337,548893707.6002005,566736
1693785600000,2023-09-04,BTCUSDT,25971.21,26108.02,25631.21,25826.02,21777.59609,563532890.5699993,596830
1693699200000,2023-09-03,BTCUSDT,25869.52,26135.0,25800.0,25971.21,17474.47667,453100690.1021077,496412
1693612800000,2023-09-02,BTCUSDT,25805.04,25987.5,25752.47,25869.51,16250.77698,419812969.94685984,567728
1693526400000,2023-09-01,BTCUSDT,25940.77,26156.0,25333.75,25805.05,41032.15056,1059444591.7097495,881179
1693440000000,2023-08-31,BTCUSDT,27299.99,27587.51,25655.01,25940.78,51032.80401,1360373186.0116708,944690
1693353600000,2023-08-30,BTCUSDT,27716.34,27768.57,27017.24,27299.99,35448.25848,969086451.1625257,690292
1693267200000,2023-08-29,BTCUSDT,26120.0,28142.85,25922.0,27716.34,74251.99488,2023326050.7584794,1137083
1693180800000,2023-08-28,BTCUSDT,26101.78,26253.99,25864.5,26120.0,22692.62655,591008939.17657,523057
1693094400000,2023-08-27,BTCUSDT,26017.38,26182.23,25966.11,26101.77,12099.64216,315548363.0193776,349090
1693008000000,2023-08-26,BTCUSDT,26060.0,26125.77,25985.92,26017.37,10022.22322,261041530.4758038,329412
1692921600000,2023-08-25,BTCUSDT,26180.05,26314.05,25777.15,26060.01,27753.33772,722611079.1898074,611438
1692835200000,2023-08-24,BTCUSDT,26432.71,26577.87,25864.0,26180.05,30205.22116,792966965.8982657,575619
1692748800000,2023-08-23,BTCUSDT,26055.99,26819.27,25812.82,26432.72,44023.69978,1156326251.922411,673711
1692662400000,2023-08-22,BTCUSDT,26126.92,26139.42,25300.0,26056.0,34247.06688,886782344.160293,603624
1692576000000,2023-08-21,BTCUSDT,26190.0,26258.42,25812.0,26126.92,30267.24233,788205156.3215923,565987
1692489600000,2023-08-20,BTCUSDT,26100.01,26299.0,25971.05,26189.99,19056.91209,497880752.23011583,451543
1692403200000,2023-08-19,BTCUSDT,26054.0,26281.0,25801.09,26100.01,26160.75343,680623880.8247553,615764
1692316800000,2023-08-18,BTCUSDT,26623.41,26832.6,25619.0,26054.0,69790.65711,1834219523.6994042,1293122
1692230400000,2023-08-17,BTCUSDT,28730.51,28783.48,25166.0,26623.41,100271.54033,2755821274.340605,1976577
1692144000000,2023-08-16,BTCUSDT,29200.01,29259.85,28723.08,28730.51,32996.69854,959870747.0063143,768028
1692057600000,2023-08-15,BTCUSDT,29430.92,29499.26,29059.6,29200.0,27503.87691,806683957.3100157,591162
1691971200000,2023-08-14,BTCUSDT,29303.85,29695.32,29102.45,29430.93,31443.11532,924613476.681799,671592
1691884800000,2023-08-13,BTCUSDT,29430.18,29474.65,29272.32,29303.84,11101.70947,326264625.2296824,341726
1691798400000,2023-08-12,BTCUSDT,29426.02,29481.35,29381.56,29430.17,8971.48068,263949405.54340288,310852
1691712000000,2023-08-11,BTCUSDT,29455.76,29564.52,29252.45,29426.03,20637.0443,607176051.3015367,437828
1691625600000,2023-08-10,BTCUSDT,29581.99,29738.0,29320.2,29455.75,23463.45373,692863472.0877249,513691
1691539200000,2023-08-09,BTCUSDT,29770.41,30160.0,29376.67,29581.99,38003.88725,1130396850.0974116,750252
1691452800000,2023-08-08,BTCUSDT,29211.06,30244.0,29146.45,29770.42,45700.53392,1352934531.6659672,877168
1691366400000,2023-08-07,BTCUSDT,29088.43,29276.78,28701.03,29211.06,30966.87746,899492595.6812717,671438
1691280000000,2023-08-06,BTCUSDT,29072.13,29205.09,28991.88,29088.42,13178.1972,383209498.87775046,338654
1691193600000,2023-08-05,BTCUSDT,29114.0,29152.23,28978.64,29072.13,11645.52018,338478560.12182474,331924
1691107200000,2023-08-04,BTCUSDT,29193.65,29333.08,28807.54,29113.99,23551.95217,686643453.3930904,544850
1691020800000,2023-08-03,BTCUSDT,29186.0,29433.33,28968.0,29193.64,26476.91994,773302705.4947629,651970
1690934400000,2023-08-02,BTCUSDT,29705.99,30047.5,28927.5,29186.01,48181.65141,1419729744.649752,945158
1690848000000,2023-08-01,BTCUSDT,29232.26,29739.25,28585.7,29705.99,44719.65162,1299160215.077924,900141
1690761600000,2023-07-31,BTCUSDT,29281.09,29530.0,29101.8,29232.25,22605.48964,663025204.2072345,563115
1690675200000,2023-07-30,BTCUSDT,29352.9,29449.0,29033.24,29281.09,15706.97441,459830379.6509824,454846
1690588800000,2023-07-29,BTCUSDT,29314.14,29406.92,29256.18,29352.9,10851.36844,318276733.8766431,339750
1690502400000,2023-07-28,BTCUSDT,29222.78,29542.22,29123.12,29314.14,23993.61627,702705076.837866,543177
1690416000000,2023-07-27,BTCUSDT,29351.95,29567.49,29083.85,29222.78,22476.47626,659594157.3443576,583045
1690329600000,2023-07-26,BTCUSDT,29228.91,29690.0,29096.94,29351.96,33931.63366,995569172.1396835,750401
1690243200000,2023-07-25,BTCUSDT,29176.5,29376.0,29047.65,29228.91,21565.7478,629531351.1145664,533797
1690156800000,2023-07-24,BTCUSDT,30083.75,30099.58,28861.9,29176.5,39628.99691,1162562413.8190153,869107
1690070400000,2023-07-23,BTCUSDT,29793.99,30350.0,29730.0,30083.75,18292.78637,548940321.0915866,519434
1689984000000,2023-07-22,BTCUSDT,29901.72,29999.0,29625.1,29794.0,14660.40467,437785700.3396102,423988
1689897600000,2023-07-21,BTCUSDT,29800.0,30061.7,29726.34,29901.72,23881.40865,713123417.7612139,555611
1689811200000,2023-07-20,BTCUSDT,29909.21,30417.46,29570.96,29800.0,37540.68193,1125950643.7116497,749723
1689724800000,2023-07-19,BTCUSDT,29859.14,30189.09,29761.96,29909.21,25657.36137,769254865.285115,617415
1689638400000,2023-07-18,BTCUSDT,30138.01,30239.78,29512.0,29859.13,30003.8601,897157095.477411,754775
1689552000000,2023-07-17,BTCUSDT,30232.0,30336.96,29659.2,30138.0,30882.76839,929647644.243343,816466
1689465600000,2023-07-16,BTCUSDT,30289.52,30441.46,30064.29,30231.99,15760.1281,477189328.0072937,494225
1689379200000,2023-07-15,BTCUSDT,30312.0,30390.9,30200.0,30289.52,14118.55329,427921094.3021783,488354
1689292800000,2023-07-14,BTCUSDT,31454.23,31630.0,29900.0,30312.01,60749.48424,1869443273.7476244,1274387
1689206400000,2023-07-13,BTCUSDT,30380.0,31804.2,30251.0,31454.23,70772.51836,2194927210.224416,1301632
1689120000000,2023-07-12,BTCUSDT,30622.1,30983.25,30210.0,30380.0,38108.99669,1166497472.4331727,784195
1689033600000,2023-07-11,BTCUSDT,30411.57,30813.63,30300.0,30622.1,28476.83311,868966244.2412691,691213
1688947200000,2023-07-10,BTCUSDT,30160.71,31045.78,29950.0,30411.57,41262.87652,1254289037.7420728,896853
1688860800000,2023-07-09,BTCUSDT,30284.63,30445.52,30061.12,30160.71,15388.50196,465781514.2589476,473168
1688774400000,2023-07-08,BTCUSDT,30344.7,30386.81,30044.47,30284.63,13094.59042,395759717.57242787,480214
1688688000000,2023-07-07,BTCUSDT,29895.42,30449.0,29701.02,30344.7,34070.53895,1027461795.2332093,912948
1688601600000,2023-07-06,BTCUSDT,30504.8,31500.0,29850.45,29895.43,71319.6261,2181763648.99527,1397042
1688515200000,2023-07-05,BTCUSDT,30766.52,30878.07,30200.0,30504.81,33215.67122,1013694790.3170499,827926
1688428800000,2023-07-04,BTCUSDT,31156.2,31350.69,30620.0,30766.51,33206.11943,1028794008.5245212,779472
1688342400000,2023-07-03,BTCUSDT,30617.02,31380.0,30570.27,31156.2,43761.64311,1352635339.5043936,781855
1688256000000,2023-07-02,BTCUSDT,30585.9,30791.0,30155.0,30617.03,23286.41019,711031423.4334425,591533
1688169600000,2023-07-01,BTCUSDT,30471.99,30661.6,30320.57,30585.9,17501.75075,533859338.1325383,567975
1688083200000,2023-06-30,BTCUSDT,30447.31,31282.0,29500.0,30472.0,89419.07618,2726355505.5063505,1559366
1687996800000,2023-06-29,BTCUSDT,30077.4,30843.98,30049.98,30447.31,36330.62903,1107940389.9242406,758428
1687910400000,2023-06-28,BTCUSDT,30692.44,30709.74,29858.8,30077.41,40463.51937,1224103637.6132562,895470
1687824000000,2023-06-27,BTCUSDT,30267.99,30994.97,30226.17,30692.44,42699.64157,1306206257.0193572,824373
1687737600000,2023-06-26,BTCUSDT,30462.67,30666.0,29930.0,30267.99,45180.41489,1367837657.5451825,954783
1687651200000,2023-06-25,BTCUSDT,30527.44,31046.01,30277.49,30462.66,30223.44801,926316644.4167664,789910
1687564800000,2023-06-24,BTCUSDT,30688.51,30800.0,30250.0,30527.43,30513.30135,933244397.7040019,776343
1687478400000,2023-06-23,BTCUSDT,29884.92,31431.94,29800.0,30688.5,73931.89635,2265077496.195469,1338533
1687392000000,2023-06-22,BTCUSDT,29993.89,30500.0,29525.61,29884.92,59054.5646,1775822103.7632556,1146092
1687305600000,2023-06-21,BTCUSDT,28308.0,30800.0,28257.99,29993.89,108926.40412,3210301129.3662906,1872873
1687219200000,2023-06-20,BTCUSDT,26844.35,28402.74,26652.0,28307.99,69666.95525,1912797983.5310051,1189024
1687132800000,2023-06-19,BTCUSDT,26339.98,27068.09,26256.61,26844.35,35872.65974,954193987.2948112,732735
1687046400000,2023-06-18,BTCUSDT,26516.99,26700.0,26255.85,26339.97,21538.31022,571013013.8553362,555956
1686960000000,2023-06-17,BTCUSDT,26345.01,26839.99,26181.0,26516.99,27842.2195,738491809.8811625,666967
1686873600000,2023-06-16,BTCUSDT,25598.49,26518.0,25175.56,26345.0,51596.91662,1335158158.639614,926194
1686787200000,2023-06-15,BTCUSDT,25128.6,25759.01,24800.0,25598.49,48664.86063,1224436974.8502872,943268
1686700800000,2023-06-14,BTCUSDT,25934.24,26098.0,24820.56,25128.6,45077.31608,1152808416.919793,957418
1686614400000,2023-06-13,BTCUSDT,25905.2,26433.21,25712.57,25934.25,41065.60853,1068985236.5126554,1007138
1686528000000,2023-06-12,BTCUSDT,25925.54,26106.48,25602.11,25905.19,29900.50893,773303698.8633221,858037
1686441600000,2023-06-11,BTCUSDT,25841.22,26206.88,25634.7,25925.55,30014.29595,776111471.8669971,833902
1686355200000,2023-06-10,BTCUSDT,26477.8,26533.87,25358.0,25841.21,64944.60108,1673795235.4008925,1713871
1686268800000,2023-06-09,BTCUSDT,26498.62,26783.33,26269.91,26477.81,27934.7097,741158215.0539023,746911
1686182400000,2023-06-08,BTCUSDT,26339.34,26810.0,26210.0,26498.61,31075.51083,823023638.236875,848252
1686096000000,2023-06-07,BTCUSDT,27230.07,27391.77,26125.01,26339.34,59619.44364,1589291467.5372326,1311928
1686009600000,2023-06-06,BTCUSDT,25728.2,27355.33,25351.02,27230.08,68392.60438,1797636024.0812125,1345725
1685923200000,2023-06-05,BTCUSDT,27115.2,27129.33,25388.0,25728.2,65805.60305,1722665798.09203,1420829
1685836800000,2023-06-04,BTCUSDT,27069.22,27455.02,26951.0,27115.21,19258.41049,523747237.4389696,504474
1685750400000,2023-06-03,BTCUSDT,27242.59,27333.29,26914.93,27069.22,16595.34117,450588672.4704081,466520
1685664000000,2023-06-02,BTCUSDT,26817.93,27300.0,26505.0,27242.59,36380.90269,983857061.640842,811087
1685577600000,2023-06-01,BTCUSDT,27210.36,27350.0,26605.05,26817.93,39217.8088,1055132509.8658342,814389
1685491200000,2023-05-31,BTCUSDT,27694.39,27835.51,26839.01,27210.35,46588.80573,1265952178.7798684,908537
1685404800000,2023-05-30,BTCUSDT,27736.39,28038.59,27554.0,27694.4,32686.75371,908653906.0072743,745633
1685318400000,2023-05-29,BTCUSDT,28065.01,28447.14,27524.6,27736.4,42385.41945,1182678581.634669,805579
1685232000000,2023-05-28,BTCUSDT,26854.28,28261.32,26764.36,28065.0,43916.00855,1205762341.9704952,843861
1685145600000,2023-05-27,BTCUSDT,26705.93,26895.0,26551.0,26854.27,15095.6867,403337263.0344908,415694
1685059200000,2023-05-26,BTCUSDT,26473.8,26932.16,26327.24,26705.92,35061.18713,932817724.5940099,655755
1684972800000,2023-05-25,BTCUSDT,26329.0,26631.98,25871.89,26473.79,37435.44895,984117789.7017612,753125
1684886400000,2023-05-24,BTCUSDT,27219.61,27219.61,26080.5,26329.01,54393.0657,1442636235.4543552,1012767
1684800000000,2023-05-23,BTCUSDT,26849.28,27495.83,26798.11,27219.61,38700.83858,1054565781.6023751,816399
1684713600000,2023-05-22,BTCUSDT,26747.78,27099.89,26538.21,26849.27,26458.83828,709594996.7242744,717111
1684627200000,2023-05-21,BTCUSDT,27102.42,27277.55,26666.03,26747.78,21347.87279,575213570.2794422,568937
1684540800000,2023-05-20,BTCUSDT,26880.26,27150.0,26825.11,27102.43,14434.54718,389225653.7451669,481382
1684454400000,2023-05-19,BTCUSDT,26821.28,27183.6,26630.0,26880.26,28754.13544,772864757.1633048,756295
1684368000000,2023-05-18,BTCUSDT,27405.62,27485.33,26361.2,26821.28,49198.65143,1330745572.694637,1057318
1684281600000,2023-05-17,BTCUSDT,27033.85,27500.0,26544.71,27405.61,42958.97785,1159714527.6352637,1016823
1684195200000,2023-05-16,BTCUSDT,27162.15,27296.89,26852.11,27033.84,33270.45451,900273404.6010331,815642
1684108800000,2023-05-15,BTCUSDT,26917.61,27663.59,26726.0,27162.14,40430.08333,1104633264.1315742,935914
1684022400000,2023-05-14,BTCUSDT,26775.27,27200.0,26560.53,26917.62,21594.8036,580801698.0002693,629537
1683936000000,2023-05-13,BTCUSDT,26795.01,27045.45,26692.03,26775.28,22814.90421,612062852.0866882,605049
1683849600000,2023-05-12,BTCUSDT,26968.61,27091.12,25811.46,26795.01,67207.93494,1777052127.7310932,1351633
1683763200000,2023-05-11,BTCUSDT,27598.74,27630.14,26702.05,26968.62,47635.31365,1295799109.011004,1257000
1683676800000,2023-05-10,BTCUSDT,27628.28,28331.42,26777.0,27598.75,71155.11355,1971173412.435502,1534579
1683590400000,2023-05-09,BTCUSDT,27668.8,27818.0,27353.0,27628.27,40113.31069,1106923908.3058467,1003698
1683504000000,2023-05-08,BTCUSDT,28430.09,28631.01,27262.0,27668.79,68244.36179,1903052694.6684127,1600637
1683417600000,2023-05-07,BTCUSDT,28848.19,29138.29,28395.23,28430.1,30003.41028,865838535.326382,855425
